cloud,key_line,other_line,fitted_slope,threshold_value,fitted_offset,fitted_slope_error,fitted_offset_error
30Dor,13CO10,CS21,nan,nan,nan,nan,nan
GMC1,13CO10,CS21,2.129688860078008,0.4375,-1.3644311977296288,0.024144033780391518,0.008570527787564761
GMC104,13CO10,CS21,1.6555167052446498,0.359375,-0.8866802797058553,0.03619909930099147,0.01434530652710904
GMC225,13CO10,CS21,1.5683570144260526,0.53125,-0.9972039453589722,0.04201504005728178,0.0117043467248594
N113,13CO10,CS21,1.4676117185795166,0.08565318792696282,-0.661437637187644,0.008358345690491842,0.005610487391041747
N127,13CO10,CS21,2.05237712252358,0.171875,-1.3718209362659413,0.06156960841981706,0.031224498741339143
N159E,13CO10,CS21,1.6338569828767135,0.5625,-0.6805883714341576,0.03849036884812707,0.012330770928465224
N159S,13CO10,CS21,1.4073428131250239,0.2265625,-0.8662504487982992,0.010053858905329636,0.002850884890236786
N159W,13CO10,CS21,1.2315404746377303,0.359375,-0.6826883164574429,0.01505593167834868,0.01182179030929214
N160,13CO10,CS21,1.0910903007414194,0.375,-0.39631435027492057,0.027814096767676634,0.012999715832461055
,,,,,,,
N171,13CO10,CS21,1.0745650571547078,0.007113513215493658,-1.0206717699524022,0.010189053488606721,0.003187540272313173
N206,13CO10,CS21,1.307756996336932,0.003127130074988082,-0.8632726348798402,0.012539499604705484,0.005462183903791369
N206D,13CO10,CS21,1.6066728932209395,0.4375,-1.1495650382955398,0.012612298766236894,0.007863811138496954
N42,13CO10,CS21,1.1445028982258425,0.0940730501867178,-0.5868181874312306,0.03258478379236207,0.009680596825358727
N44C,13CO10,CS21,1.1345225625219262,0.050471185064935066,-0.3592642873049811,0.020629447169061434,0.007766809067897532
N55,13CO10,CS21,1.712221086061691,0.028246697525827327,-0.5186696037635296,0.049329108480972376,0.015045603646309585
N59C,13CO10,CS21,1.567515331102767,0.375,-0.7604232289298283,0.028335359865177392,0.011586510638410256
N66,13CO10,CS21,1.447709488472332,0.16259765625,-0.24278530851444363,0.11674753540393562,0.030230889829429973
N69,13CO10,CS21,1.0876375973934234,0.183828125,-0.6122856411415043,0.14081094309870212,0.0372394134194789
N79,13CO10,CS21,1.1170073596424788,0.40625,-0.4780777728526444,0.032461418837086746,0.013695596381039163
A439,13CO10,CS21,1.6063459770371444,0.3125,-1.1089060807791429,0.009918960501044563,0.0038686368270726083
30Dor,13CO10,C18O10,nan,nan,nan,nan,nan
A439,13CO10,C18O10,1.4239404688185946,0.79259375,-2.0383775792454184,0.14073147385195922,0.05748815546525837
GMC1,13CO10,C18O10,0.6460032124961619,1.3495,-1.6775177360956348,0.3498734162764362,0.10813929858637163
GMC104,13CO10,C18O10,1.8034411179361518,1.15803125,-1.9791141146447455,0.05535792333225809,0.023735108087569647
GMC225,13CO10,C18O10,1.1762905507886359,1.28590625,-1.6043353749317761,0.1871516293699293,0.060265379896557066
N113,13CO10,C18O10,1.3706170305053789,0.06226928936468204,-1.8792776149769324,0.021947133283798933,0.014609997920836658
N127,13CO10,C18O10,1.7776846222933547,0.011731052714501573,-1.8524543075269775,0.10446583557566629,0.051530104615090146
N159E,13CO10,C18O10,0.583427307998648,0.9224375,-1.4264655996440214,0.23234678145533033,0.0998501297750312
N159S,13CO10,C18O10,1.4630699909921456,0.359375,-1.9294511237005707,0.061157706028482375,0.019434612748205
N159W,13CO10,C18O10,1.2654379237762399,1.27459375,-1.6972696625576322,0.05469781201152062,0.04562491346803173
N160,13CO10,C18O10,1.1272769935516884,0.957625,-1.542129092384942,0.062120778176054096,0.031318352034997395
N166,13CO10,C18O10,0.582980052494071,0.6875,-1.4862105749435601,0.060612458579025606,0.020137711071749626
N171,13CO10,C18O10,0.6181929097599825,0.49990625,-1.883598404217624,0.1106716099627292,0.017366306525446733
N206,13CO10,C18O10,1.3173367788656383,1.0,-1.7094663670327708,0.05158539438361093,0.024773112582504732
N206D,13CO10,C18O10,1.3033073920616407,1.2928125,-1.7177520303971152,0.03765866129786216,0.022150556756881306
N42,13CO10,C18O10,nan,0.98792578125,nan,nan,nan
N44C,13CO10,C18O10,1.1026702696923372,0.28572265625,-1.5394988243757448,0.015619312401281572,0.005991678300763632
N55,13CO10,C18O10,1.166087410327406,0.9550625,-1.553950588276178,0.15996563585366297,0.04873503347517432
N59C,13CO10,C18O10,1.0034105789713879,0.0030020360217012138,-1.756296656436381,0.07318295419183075,0.027194211418079886
N66,13CO10,C18O10,nan,0.771203125,nan,nan,nan
N69,13CO10,C18O10,nan,0.521115234375,nan,nan,nan
N79,13CO10,C18O10,1.2017888403970385,1.05821875,-1.552460284094706,0.053903205570726545,0.024739557057639673
30Dor,13CO10,SO3221,nan,nan,nan,nan,nan
None,None,None,nan,nan,nan,nan,nan
None,None,None,nan,nan,nan,nan,nan
None,None,None,nan,nan,nan,nan,nan
GMC225,13CO10,SO3221,1.3763031612286272,0.003242662454119452,-1.5484945369948824,0.03019613299438456,0.008225288933985248
N113,13CO10,SO3221,1.2754551785313049,0.0027414430082853295,-1.1046686448295804,0.009513126499981588,0.006176452987226265
N127,13CO10,SO3221,0.9615233231309762,0.2238037109375,-1.1121443276265226,0.06559389878255087,0.016205520250307002
N159E,13CO10,SO3221,1.4863425521821685,0.0694566923151339,-1.3204860639699165,0.030896251599202878,0.008763047966780596
None,None,None,nan,nan,nan,nan,nan
N159W,13CO10,SO3221,1.4926222626541532,0.05596780678660599,-1.298883596829316,0.01154715505914045,0.009742214532721755
N160,13CO10,SO3221,1.1150372461056857,0.3125,-0.8855628317641058,0.02155631794135957,0.010380429844607584
N166,13CO10,SO3221,1.577092225548143,0.04255281738398054,-1.3408380143952021,0.009052516887840062,0.0031557801256300835
None,None,None,nan,nan,nan,nan,nan
N206,13CO10,SO3221,1.3726806984611257,0.0031293330173073073,-1.2034807497412032,0.009432505475320766,0.004220826943102815
N206D,13CO10,SO3221,1.5234192629706835,0.009446499805438064,-1.4763776932169816,0.017498190804546114,0.01082531841125963
None,None,None,nan,nan,nan,nan,nan
N44C,13CO10,SO3221,1.0341381683224833,0.103021484375,-0.689139334282393,0.024444961621105075,0.008880407655465552
N55,13CO10,SO3221,1.578852802349678,0.375,-1.1538800597964665,0.038596802811659385,0.011200128654324041
None,None,None,nan,nan,nan,nan,nan
None,None,None,nan,nan,nan,nan,nan
None,None,None,nan,nan,nan,nan,nan
